vendor,current_price,old_price,product_name,month
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",6
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",6
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",6
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",6
